Exp_ID,Cycle,Well,RFU,DNA Template,[DNA] (nM),[RNAP] (nM),Gyr (U),TopoI (U)
TL39 TX40,1,B4,3272.64394608777,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,2,B4,3296.59007918515,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,3,B4,3317.50345399863,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,4,B4,3339.3299284039,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,5,B4,3362.92378007032,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,6,B4,3386.3963408662,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,7,B4,3403.03586122817,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,8,B4,3419.00502967475,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,9,B4,3440.61902032479,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,10,B4,3461.70273290329,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,11,B4,3480.66975161754,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,12,B4,3506.3719217229,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,13,B4,3527.26587169131,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,14,B4,3551.82769974295,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,15,B4,3571.67296104807,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,16,B4,3591.44469115391,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,17,B4,3618.43156325165,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,18,B4,3640.30846334994,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,19,B4,3656.49047171615,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,20,B4,3681.51735846313,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,21,B4,3698.01510962531,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,22,B4,3718.77055696534,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,23,B4,3742.40445601333,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,24,B4,3761.313563711,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,25,B4,3781.59130418141,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,26,B4,3804.14318271913,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,27,B4,3821.51703350339,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,28,B4,3843.6874339638,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,29,B4,3869.46382775577,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,30,B4,3886.78324821916,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,31,B4,3910.44831706785,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,32,B4,3929.33594480114,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,33,B4,3946.46592790521,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,34,B4,3970.32703968746,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,35,B4,3995.07488243505,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,36,B4,4011.63673218274,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,37,B4,4039.46645488923,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,38,B4,4062.11716312727,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,39,B4,4077.3725585803,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,40,B4,4107.80849440079,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,41,B4,4124.1859673411,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,42,B4,4148.97326113793,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,43,B4,4172.84952304652,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,44,B4,4198.3518441878,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,45,B4,4215.02447795212,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,46,B4,4242.67691095022,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,47,B4,4266.71992838511,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,48,B4,4281.52369813304,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,49,B4,4307.41506502828,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,50,B4,4331.51378139662,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,51,B4,4352.40688983812,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,52,B4,4379.86205268465,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,53,B4,4399.20781797316,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,54,B4,4424.31562380807,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,55,B4,4443.28622437521,rx MB,0.085,425.0,0.0,0.0
TL39 TX40,56,B4,4473.60617932327,rx MB,0.085,425.0,0.0,0.0
